ITERACAO,TEMPO (s),DESLOCAMENTO (m)
466000,8.008841066991460,-.5379441458803126E-01
467000,8.026027421212470,-.5379415971547685E-01
468000,8.043213775433482,-.5379423057169463E-01
469000,8.060400129654495,-.5379460988782186E-01
470000,8.077586483875507,-.5379526131573340E-01
471000,8.094772838096517,-.5379613249723236E-01
472000,8.111959192317530,-.5379715903956100E-01
473000,8.129145546538542,-.5379826910058252E-01
474000,8.146331900759552,-.5379938828264928E-01
475000,8.163518254980564,-.5380044450406084E-01
476000,8.180704609201577,-.5380137253217748E-01
477000,8.197890963422589,-.5380211788982602E-01
478000,8.215077317643599,-.5380263993389836E-01
479000,8.232263671864612,-.5380291392398058E-01
480000,8.249450026085624,-.5380293199179209E-01
481000,8.266636380306634,-.5380270299149954E-01
482000,8.283822734527647,-.5380225128666112E-01
483000,8.301009088748659,-.5380161457649985E-01
484000,8.318195442969671,-.5380084095373251E-01
485000,8.335381797190681,-.5379998543754452E-01
486000,8.352568151411694,-.5379910616914616E-01
487000,8.369754505632706,-.5379826052573339E-01
488000,8.386940859853716,-.5379750150602460E-01
489000,8.404127214074729,-.5379687448927371E-01
490000,8.421313568295741,-.5379641460603548E-01
491000,8.438499922516753,-.5379614488231934E-01
492000,8.455686276737763,-.5379607523958617E-01
493000,8.472872630958776,-.5379620235233040E-01
494000,8.490058985179788,-.5379651039031995E-01
495000,8.507245339400798,-.5379697249177633E-01
496000,8.524431693621811,-.5379755294568490E-01
497000,8.541618047842823,-.5379820982509093E-01
498000,8.558804402063835,-.5379889790919041E-01
499000,8.575990756284845,-.5379957170168279E-01
500000,8.593177110505858,-.5380018839575738E-01
501000,8.610363464726870,-.5380071052099004E-01
502000,8.627549818947880,-.5380110814681095E-01
503000,8.644736173168893,-.5380136049282565E-01
504000,8.661922527389905,-.5380145692545994E-01
505000,8.679108881610917,-.5380139725400353E-01
506000,8.696295235831927,-.5380119133861041E-01
507000,8.713481590052940,-.5380085808093085E-01
508000,8.730667944273952,-.5380042385626667E-01
509000,8.747854298494962,-.5379992052512780E-01
510000,8.765040652715975,-.5379938316809545E-01
511000,8.782227006936987,-.5379884771299129E-01
512000,8.799413361157999,-.5379834858944139E-01
513000,8.816599715379009,-.5379791658251680E-01
514000,8.833786069600022,-.5379757698195036E-01
515000,8.850972423821034,-.5379734815136478E-01
516000,8.868158778042044,-.5379724061471762E-01
517000,8.885345132263057,-.5379725668683084E-01
518000,8.902531486484069,-.5379739062973687E-01
519000,8.919717840705081,-.5379762932473425E-01
520000,8.936904194926091,-.5379795340602742E-01
521000,8.954090549147104,-.5379833873193027E-01
522000,8.971276903368116,-.5379875812008394E-01
523000,8.988463257589126,-.5379918323756745E-01
524000,9.005649611810139,-.5379958645388535E-01
525000,9.022835966031151,-.5379994259236443E-01
526000,9.040022320252163,-.5380023046123736E-01
527000,9.057208674473173,-.5380043405818188E-01
528000,9.074395028694186,-.5380054340375193E-01
529000,9.091581382915198,-.5380055496776671E-01
530000,9.108767737136208,-.5380047166583164E-01
531000,9.125954091357221,-.5380030241542730E-01
532000,9.143140445578233,-.5380006134338879E-01
533000,9.160326799799245,-.5379976667507978E-01
534000,9.177513154020255,-.5379943940880982E-01
535000,9.194699508241268,-.5379910186590348E-01
536000,9.211885862462280,-.5379877619646392E-01
537000,9.229072216683290,-.5379848295795772E-01
538000,9.246258570904303,-.5379823985597725E-01
539000,9.263444925125315,-.5379806072020326E-01
540000,9.280631279346327,-.5379795474227862E-01
541000,9.297817633567337,-.5379792605417080E-01
542000,9.315003987788350,-.5379797365696929E-01
543000,9.332190342009362,-.5379809167567589E-01
544000,9.349376696230372,-.5379826992857104E-01
545000,9.366563050451385,-.5379849472342677E-01
546000,9.383749404672397,-.5379874987335649E-01
547000,9.400935758893409,-.5379901783034288E-01
548000,9.418122113114419,-.5379928086624831E-01
549000,9.435308467335432,-.5379952222059045E-01
550000,9.452494821556444,-.5379972714361148E-01
551000,9.469681175777454,-.5379988376696757E-01
